frame,time,x,y,z,velocity_x,velocity_y,velocity_z,speed,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
1,0.0,0.0,0.0,2.216708890045993e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05,0.0,0.0,0.0053211385384202,0.0,0.0,0.10597943514585495,0.10597943363596007,0.0,0.0,2.119588851928711,2.1195888062932564
3,0.1,0.0,0.0,0.010620110668241978,0.0,0.0,0.10597943514585495,0.10597943363596007,0.0,0.0,-1.4901161193847656e-07,1.4901161193847656e-07
4,0.15,0.0,0.0,0.01591908186674118,0.0,0.0,0.10597943514585495,0.10597943363596007,0.0,0.0,1.4901161193847656e-07,1.4901161193847656e-07
5,0.2,0.0,0.0,0.021218053996562958,0.0,0.0,0.10597940534353256,0.10597940727265566,0.0,0.0,-1.341104507446289e-06,1.341104507446289e-06
6,0.25,0.0,0.0,0.026517022401094437,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,2.2351741790771484e-06,2.2351741790771484e-06
7,0.3,0.0,0.0,0.03181599825620651,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,-1.4901161193847656e-06,1.4901161193847656e-06
8,0.35,0.0,0.0,0.03711496666073799,0.0,0.0,0.10597940534353256,0.10597940727265566,0.0,0.0,0.0,0.0
9,0.4,0.0,0.0,0.04241393879055977,0.0,0.0,0.10597940534353256,0.10597940727265566,0.0,0.0,-7.450580596923828e-07,7.450580596923828e-07
10,0.45,0.0,0.0,0.04771290719509125,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,2.2351741790771484e-06,2.2351741790771484e-06
11,0.5,0.0,0.0,0.05301188305020332,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,-1.4901161193847656e-06,1.4901161193847656e-06
12,0.55,0.0,0.0,0.0583108514547348,0.0,0.0,0.10597940534353256,0.10597940727265566,0.0,0.0,0.0,0.0
13,0.6,0.0,0.0,0.06360982358455658,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,7.450580596923828e-07,7.450580596923828e-07
14,0.65,0.0,0.0,0.06890879571437836,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,0.0,0.0
15,0.7,0.0,0.0,0.07420776784420013,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,0.0,0.0
16,0.75,0.0,0.0,0.07950673997402191,0.0,0.0,0.10597936809062958,0.10597936772768672,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
17,0.8,0.0,0.0,0.08480570465326309,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,4.470348358154297e-06,4.470348358154297e-06
18,0.85,0.0,0.0,0.09010468423366547,0.0,0.0,0.10597936809062958,0.10597936772768672,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
19,0.9,0.0,0.0,0.09540364146232605,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,7.450580596923828e-06,7.450580596923828e-06
20,0.95,0.0,0.0,0.10070262849330902,0.0,0.0,0.10597951710224152,0.10597951711971415,0.0,0.0,-2.9802322387695312e-06,2.9802322387695312e-06
21,1.0,0.0,0.0,0.1060015931725502,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,1.4901161193847656e-06,1.4901161193847656e-06
22,1.05,0.0,0.0,0.11130057275295258,0.0,0.0,0.10597936809062958,0.10597936772768672,0.0,0.0,-5.9604644775390625e-06,5.9604644775390625e-06
23,1.1,0.0,0.0,0.11659952998161316,0.0,0.0,0.10597936809062958,0.10597936772768672,0.0,0.0,4.470348358154297e-06,4.470348358154297e-06
24,1.15,0.0,0.0,0.12189850956201553,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,-1.4901161193847656e-06,1.4901161193847656e-06
25,1.2,0.0,0.0,0.1271974742412567,0.0,0.0,0.10597936809062958,0.10597936772768672,0.0,0.0,0.0,0.0
26,1.25,0.0,0.0,0.1324964463710785,0.0,0.0,0.10597929358482361,0.10597929303159405,0.0,0.0,-4.470348358154297e-06,4.470348358154297e-06
27,1.3,0.0,0.0,0.13779540359973907,0.0,0.0,0.10597929358482361,0.10597929303159405,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
28,1.35,0.0,0.0,0.14309437572956085,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,2.9802322387695312e-06,2.9802322387695312e-06
29,1.4,0.0,0.0,0.14839334785938263,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,0.0,0.0
30,1.45,0.0,0.0,0.1536923199892044,0.0,0.0,0.10597959160804749,0.10597959181564888,0.0,0.0,5.9604644775390625e-06,5.9604644775390625e-06
31,1.5,0.0,0.0,0.15899130702018738,0.0,0.0,0.10597944259643555,0.10597944242372676,0.0,0.0,-8.940696716308594e-06,8.940696716308594e-06
